Date,E,Need,Nedd,amount
2022-05-04,Expenses,veggies and fruits,vut jolokia,-7
2022-05-04,Expenses,Snacks,bread,-18
2022-05-04,Expenses,Food,egg,-48
2022-05-04,Expenses,Food,milk,-30
2022-05-04,Expenses,veggies and fruits,pumpkin and lemon,-20
2022-05-04,Expenses,Snacks,maina da r chah,-10
2022-05-04,Expenses,Food,coffe house,-70
2022-05-03,Expenses,Snacks,icecream,-100
2022-05-03,Expenses,Food,jodu,-250
2022-05-03,Expenses,Transportation,,-65
2022-05-02,Expenses,Shopping,tshirt,-2000
2022-05-02,Expenses,Food,,-504
2022-05-02,Expenses,Transportation,,-830
2022-05-01,Expenses,Food,,-400
2022-05-01,Expenses,Food,kfc,-1500
2022-05-01,Expenses,Transportation,,-330
2022-05-01,Expenses,Telephone,Airtel 1.5/day 84 days,-666
2022-04-30,Expenses,Transportation,to airbnb,-40
2022-04-30,Expenses,Food,thagbaiban food,-500
2022-04-30,Expenses,Snacks,sprite,-50
2022-04-30,Expenses,Snacks,tea at loktak lake,-20
2022-04-30,Expenses,Snacks,cafe and amul cool,-75
2022-04-30,Expenses,Transportation,boat at loktak lake,-500
2022-04-30,Expenses,Transportation,to loktak lake,-100
2022-04-30,Expenses,Shopping,roses,-200
2022-04-30,Expenses,Transportation,to get roses,-200
2022-04-30,Expenses,Transportation,to ima market,-20
2022-04-29,Expenses,Food,dinner,-200
2022-04-29,Expenses,Transportation,airport to hotel,-300
2022-04-29,Expenses,Food,airport food,-230
2022-04-29,Expenses,Transportation,,-250
